#t,h,En,Ep,Ea,H(10)
34080,562.7,0,0,0,0
34090,608.1,0,0,0,0
34100,667,7.81542e-14,0,7.81542e-14,6.82032e-10
34110,711.7,0,0,0,0
34120,774.8,0,0,0,0
34130,811.2,1.30257e-13,0,1.30257e-13,1.13672e-09
34140,867.2,6.51285e-14,0,6.51285e-14,5.6836e-10
34150,911.2,0,0,0,0
34160,955.4,5.21028e-14,0,5.21028e-14,4.54688e-10
34170,1007.4,5.21028e-14,0,5.21028e-14,4.54688e-10
34180,1060.3,7.81542e-14,0,7.81542e-14,6.82032e-10
34190,1101.1,7.81542e-14,0,7.81542e-14,6.82032e-10
34200,1150.8,9.11799e-14,0,9.11799e-14,7.95704e-10
34210,1216.1,1.30257e-13,0,1.30257e-13,1.13672e-09
34220,1269.1,0,0,0,0
34230,1327,1.30257e-13,0,1.30257e-13,1.13672e-09
34240,1386.7,0,0,0,0
34250,1438.1,0,0,0,0
34260,1488.6,0,0,0,0
34270,1545.1,6.51285e-14,0,6.51285e-14,5.6836e-10
34280,1596,3.90771e-14,0,3.90771e-14,3.41016e-10
34290,1655.6,0,0,0,0
34300,1716.9,0,0,0,0
34310,1763.5,3.90771e-14,0,3.90771e-14,3.41016e-10
34320,1806.8,1.30257e-13,0,1.30257e-13,1.13672e-09
34330,1849.2,5.21028e-14,0,5.21028e-14,4.54688e-10
34340,1897.6,0,0,0,0
34350,1940.3,5.21028e-14,0,5.21028e-14,4.54688e-10
34360,1990,0,0,0,0
34370,2029.5,1.69334e-13,0,1.69334e-13,1.47774e-09
34380,2088.6,1.69334e-13,0,1.69334e-13,1.47774e-09
34390,2144.3,0,0,0,0
34400,2182.1,1.43283e-13,0,1.43283e-13,1.25039e-09
34410,2233.4,0,0,0,0
34420,2283.2,1.69334e-13,0,1.69334e-13,1.47774e-09
34430,2336.7,0,0,0,0
34440,2390.4,0,0,0,0
34450,2434.6,1.04206e-13,0,1.04206e-13,9.09376e-10
34460,2479.9,0,0,0,0
34470,2517.1,3.90771e-14,0,3.90771e-14,3.41016e-10
34480,2551.8,0,0,0,0
34490,2568.1,0,0,0,0
34500,2597.3,1.43283e-13,0,1.43283e-13,1.25039e-09
34510,2635.5,6.51285e-14,0,6.51285e-14,5.6836e-10
34520,2680.3,0,0,0,0
34530,2725.7,0,0,0,0
34540,2762.9,5.21028e-14,0,5.21028e-14,4.54688e-10
34550,2801.4,0,0,0,0
34560,2837.1,1.30257e-13,0,1.30257e-13,1.13672e-09
34570,2873.9,0,0,0,0
34580,2911.2,0,0,0,0
34590,2951.1,6.51285e-14,0,6.51285e-14,5.6836e-10
34600,2982.5,1.30257e-13,0,1.30257e-13,1.13672e-09
34610,3020.1,1.56308e-13,0,1.56308e-13,1.36406e-09
34620,3062.5,1.04206e-13,0,1.04206e-13,9.09376e-10
34630,3095.4,0,0,0,0
34640,3127.7,6.51285e-14,0,6.51285e-14,5.6836e-10
34650,3162.9,0,0,0,0
34660,3206,5.21028e-14,0,5.21028e-14,4.54688e-10
34670,3256.3,6.51285e-14,0,6.51285e-14,5.6836e-10
34680,3297.4,5.21028e-14,0,5.21028e-14,4.54688e-10
34690,3335,1.04206e-13,0,1.04206e-13,9.09376e-10
34700,3378.8,1.8236e-13,0,1.8236e-13,1.59141e-09
34710,3426.1,1.69334e-13,0,1.69334e-13,1.47774e-09
34720,3458.8,2.08411e-13,0,2.08411e-13,1.81875e-09
34730,3485.7,0,0,0,0
34740,3526.8,0,0,0,0
34750,3550.5,5.21028e-14,0,5.21028e-14,4.54688e-10
34760,3573.3,2.08411e-13,0,2.08411e-13,1.81875e-09
34770,3610,3.90771e-14,0,3.90771e-14,3.41016e-10
34780,3654.2,1.30257e-13,0,1.30257e-13,1.13672e-09
34790,3695.9,1.43283e-13,0,1.43283e-13,1.25039e-09
34800,3721.1,5.21028e-14,0,5.21028e-14,4.54688e-10
34810,3759.7,0,0,0,0
34820,3782.5,0,0,0,0
34830,3812.6,7.81542e-14,0,7.81542e-14,6.82032e-10
34840,3855.4,0,0,0,0
34850,3889.8,3.51694e-13,0,3.51694e-13,3.06914e-09
34860,3914.5,6.51285e-14,0,6.51285e-14,5.6836e-10
34870,3947.8,0,0,0,0
34880,3983.7,1.56308e-13,0,1.56308e-13,1.36406e-09
34890,4023.3,7.81542e-14,1.95385e-13,2.7354e-13,9.31924e-09
34900,4058.7,1.43283e-13,0,1.43283e-13,1.25039e-09
34910,4085.5,0,0,0,0
34920,4113.6,1.17231e-13,0,1.17231e-13,1.02305e-09
34930,4145.2,2.34463e-13,0,2.34463e-13,2.0461e-09
34940,4179.5,7.81542e-14,0,7.81542e-14,6.82032e-10
34950,4214.6,2.08411e-13,0,2.08411e-13,1.81875e-09
34960,4253.1,2.34463e-13,0,2.34463e-13,2.0461e-09
34970,4298.4,1.17231e-13,0,1.17231e-13,1.02305e-09
34980,4341,1.04206e-13,0,1.04206e-13,9.09376e-10
34990,4365,0,0,0,0
35000,4373.8,1.17231e-13,0,1.17231e-13,1.02305e-09
35010,4393.6,1.17231e-13,0,1.17231e-13,1.02305e-09
35020,4446.5,7.81542e-14,0,7.81542e-14,6.82032e-10
35030,4477,2.08411e-13,0,2.08411e-13,1.81875e-09
35040,4507.4,1.69334e-13,0,1.69334e-13,1.47774e-09
35050,4556.7,0,0,0,0
35060,4571.2,1.95385e-13,0,1.95385e-13,1.70508e-09
35070,4564.7,0,7.81542e-13,7.81542e-13,3.45488e-08
35080,4616.4,1.69334e-13,0,1.69334e-13,1.47774e-09
35090,4650.7,5.21028e-14,0,5.21028e-14,4.54688e-10
35100,4645.9,1.56308e-13,0,1.56308e-13,1.36406e-09
35110,4634.9,0,0,0,0
35120,4613.8,2.7354e-13,0,2.7354e-13,2.38711e-09
35130,4598.2,7.81542e-14,0,7.81542e-14,6.82032e-10
35140,4580.7,1.69334e-13,0,1.69334e-13,1.47774e-09
35150,4573,0,0,0,0
35160,4573.8,0,0,0,0
35170,4575.8,1.04206e-13,0,1.04206e-13,9.09376e-10
35180,4553.1,5.21028e-14,0,5.21028e-14,4.54688e-10
35190,4346.2,0,0,0,0
35200,4137,3.90771e-14,0,3.90771e-14,3.41016e-10
35210,3969.4,5.21028e-14,0,5.21028e-14,4.54688e-10
35220,3826.9,9.11799e-14,0,9.11799e-14,7.95704e-10
35230,3664.5,0,0,0,0
35240,3532.9,1.30257e-13,0,1.30257e-13,1.13672e-09
35250,3376.7,0,0,0,0
35260,3233.2,0,2.21437e-13,2.21437e-13,9.78884e-09
35270,3108.9,9.11799e-14,0,9.11799e-14,7.95704e-10
35280,2968.4,0,0,0,0
35290,2819.9,1.56308e-13,0,1.56308e-13,1.36406e-09
35300,2632.1,9.11799e-14,0,9.11799e-14,7.95704e-10
35310,2443.7,5.21028e-14,0,5.21028e-14,4.54688e-10
35320,2202.1,6.51285e-14,0,6.51285e-14,5.6836e-10
35330,1982.4,0,0,0,0
35340,1867.6,0,0,0,0
35350,1741.6,1.17231e-13,0,1.17231e-13,1.02305e-09
35360,1580.5,7.81542e-14,0,7.81542e-14,6.82032e-10
35370,1457.2,1.30257e-13,0,1.30257e-13,1.13672e-09
35380,1310,0,0,0,0
35390,1167.6,0,0,0,0
35400,1019.4,0,0,0,0
35410,880.8,0,0,0,0
35420,741.3,0,0,0,0
35430,628,3.38668e-13,0,3.38668e-13,2.95547e-09
35440,554.4,2.21437e-13,0,2.21437e-13,1.93242e-09
35450,504.1,5.21028e-14,0,5.21028e-14,4.54688e-10
35460,473.2,1.56308e-13,0,1.56308e-13,1.36406e-09
